f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0.86794114,-0.046941906,0.200806,1.8842336,-0.68144935,-0.12675765,0.5273863,-0.54510957,0.5972959,-1.0501217,-1.7270656,0.84143835,1.7876734,0.53994274,0.15006323,0.059207194,0.058532514,0.13833188,-1.3824148,-0.887012,0.1454311,-0.92060494,0.23807532,1.9227356,0.41960123,0.45767102,0.7163142,-0.102231875,-2.3899364,0.35594362
1.2399088,0.48567674,0.05418071,0.7793933,0.4184125,-0.9437727,-1.3650966,-1.13975,-0.33597338,-0.8444868,-1.1027217,1.4676504,2.4303243,1.2678155,-0.8686762,-0.24684578,-0.346188,1.9519043,-1.141628,-1.3958273,-0.08003773,-0.46899283,0.7662477,0.7923332,0.127861,-0.2653329,-0.049618937,-1.2170388,-1.6363661,0.73038864
2.5592144,0.85995936,1.3450398,0.7708399,-0.43411642,-0.18717097,-0.8035346,0.94220877,0.04339481,-0.5290664,-0.98344135,0.59988,1.5897168,0.3790698,-0.5464835,0.20299467,-0.95763296,0.61120594,-1.3393781,-1.4953843,-0.603118,-0.08516829,0.5496414,1.6690897,-0.45504,0.79833865,0.8683237,-1.3418669,-0.9708027,0.5906245
0.9271374,1.1571076,-0.6928735,0.16135187,0.14173809,-0.91170293,-1.2477372,-1.0692412,-0.38277024,-0.052031618,-1.2709739,1.3139864,0.9188192,0.9759658,0.3376197,0.35284403,1.1204524,0.77913743,-0.8889384,-1.6308352,0.23319733,-0.80132055,1.427486,1.2765801,0.95779586,1.0651159,0.08567885,0.4562049,-2.2012444,0.2644525
0.21756373,0.6332803,-0.5044677,0.987605,-0.5613831,-0.9876305,-1.1262817,-1.4114215,-0.16813228,-0.1700619,-1.2003282,-0.5207992,0.509092,1.1741545,1.3119266,-0.24654502,0.34612048,1.2018412,-1.0077658,-2.4252641,-0.0136531,-0.35050315,1.7785068,1.8113142,0.054604083,0.73698735,0.60611176,0.36300194,-2.2654593,-0.58521897
-0.21385607,0.40203944,0.64830095,0.59491754,-0.20518805,-0.37142688,-1.6204413,-0.3741554,-2.2737775,-2.157723,-0.02099584,0.83413714,1.1903553,0.04504282,-1.4845592,-1.6287341,-0.31468642,0.7402085,-0.6122052,-0.5161597,0.43236142,-0.33667117,1.1232698,1.3489484,-0.58257926,0.3825838,0.15482488,0.50339144,-1.296321,0.27211818
0.4385989,-1.2211398,0.5811758,0.7562113,0.6572371,0.67291397,-1.0979626,-0.45304373,-0.9806052,-1.897879,-1.125577,0.7843524,1.3935739,0.23224974,-0.7099439,-1.8211701,-1.4337101,0.35800365,-1.0360363,-0.17994931,-0.2290247,0.20425214,-0.015564054,1.6345437,-0.09201464,0.83707595,0.31620196,0.3870088,-0.036209114,-0.0070422404
0.512402,-0.9242748,-0.11524056,0.6833591,-0.11817011,0.31793424,-0.9282785,0.05689142,-1.0035312,-0.40957204,-1.5435569,0.54725116,1.3394885,1.7368424,0.7297781,-0.7805385,-1.7838746,1.701524,-1.476675,-1.3606938,-1.0213017,-1.0273616,-0.053938776,1.2260835,-1.1508856,0.13223651,-0.0040254816,-0.04162155,-1.5723909,0.04570483
0.005445496,-1.1200151,-0.08039062,1.3390181,-0.18512692,0.13792613,-0.23553886,-2.027186,-1.1250635,-0.846894,0.82782793,0.09420761,2.2639248,0.7302439,-0.13618477,-0.7227554,-0.92725164,0.5562974,-1.7565572,-1.2381403,-0.43962395,-0.9948139,1.7979922,1.2833,-0.52274895,-0.23940179,-0.5990373,-0.2727539,-1.3144466,0.17003576
-0.97128487,-0.33086604,0.46310633,0.15516973,0.8050683,0.33942443,-1.0790797,-1.1762172,-1.2234402,-1.5747161,0.10163313,1.3012367,1.4349014,1.1078237,-0.7977307,-2.2651772,-1.2112508,1.3597984,-0.37651122,-1.3290751,0.08472429,0.044744477,1.1549852,1.2043589,-0.8227794,-0.0954445,0.13520315,0.55455583,-1.0517229,-0.72840506
-0.7439079,-0.4155794,0.39330345,-0.63876754,-0.21786316,0.8077817,-1.252551,-1.1113874,-0.30278942,-1.8581402,0.2131248,1.4637611,0.27867475,0.92209375,-0.93561643,-1.9502103,-0.7296479,0.9424264,-1.0595628,-1.5944736,-0.105218984,-0.09277581,1.4271967,1.2846303,-0.347043,0.6091766,0.50299835,-0.14233078,-1.9565536,-0.72827464
0.5044078,0.78109777,1.1782671,-0.2950757,0.5834441,0.544005,-0.70491564,-1.2113173,-1.3698305,-2.0714307,0.23479809,0.26924387,0.068362996,-0.40667576,-1.3071344,-2.1594896,-0.6128641,0.7003616,-1.5222158,-1.2242275,-0.7672337,-0.70632225,2.061769,1.6590354,-1.077052,0.053482533,-0.18050998,0.23913564,-0.9274083,-0.12898786
-0.40215808,-0.8975997,-0.24227782,-0.22084226,1.6023681,0.19715609,-1.5552099,-1.5848564,-0.6171524,-1.1315869,0.024764098,1.7365853,1.2679381,0.524907,-1.1164564,-1.6212171,-0.24670787,1.5516466,0.014417399,-1.131657,-0.09538641,-1.6559607,1.5724659,0.6424788,-0.41745812,0.4686387,0.45674947,0.49723762,-1.0449669,-1.0279014
0.41939825,-0.65633535,0.09538108,-0.5619767,1.5915968,-0.29443124,-1.275507,-1.9365401,-0.7433969,-1.6268853,-0.4518699,0.9444194,0.88933897,0.24156557,-1.2484441,-1.4953713,-0.067862675,0.9844838,-0.74277115,-1.2201372,-0.0033881366,-1.7736369,1.6157556,2.2350612,-0.74942565,-0.60286117,0.20188689,-0.08203153,-1.02733,-0.72650427
1.932913,-0.36529595,-0.20398723,0.37296614,0.4197294,1.6400903,-1.5025196,-0.13013187,-1.4012432,-2.07023,-0.25446424,0.48403215,0.6506866,-0.42928764,-0.1660732,-1.2478846,-0.5186054,1.2942826,-1.2006011,-1.5690292,-0.011923909,-0.22025283,0.8856889,1.1364262,-0.4362763,-0.08834401,0.88715506,0.57789105,-0.93133754,0.5059294
